Channel,Date,Start Time,Program Name,Nola Episode,Description
9.1,2025-03-28,07:30:00,Carl the Collector,#102,
9.1,2025-03-28,08:00:00,Daniel Tiger's Neighborhood,#202,
9.1,2025-03-28,08:30:00,Rosie's Rules,#133,
9.1,2025-03-28,09:00:00,Sesame Street,#5434,
9.1,2025-03-28,09:30:00,Work It Out Wombats!,#140,
9.1,2025-03-28,10:00:00,Donkey Hodie,#140,
9.1,2025-03-28,10:30:00,Pinkalicious & Peterrific,#101,
9.1,2025-03-28,11:00:00,Elinor Wonders Why,#125,
9.1,2025-03-28,11:30:00,Alma's Way,#223,
9.1,2025-03-28,12:00:00,Molly of Denali,#110,
9.1,2025-03-28,12:30:00,Xavier Riddle and The Secret Museum,#126,
9.1,2025-03-28,13:00:00,Sit and Be Fit,#1014,
9.1,2025-03-28,13:30:00,Classical Stretch,#1212,
9.1,2025-03-28,14:00:00,NOVA,#5104,
9.1,2025-03-28,15:00:00,Hope in the Water,#101,
9.1,2025-03-28,16:00:00,Hope in the Water,#102,
9.1,2025-03-28,17:00:00,BBC News America,#1055,
9.1,2025-03-28,17:30:00,BBC News The Context,#1055,
9.1,2025-03-28,18:00:00,The PBS News Hour,#14695,
9.1,2025-03-28,19:00:00,Washington Week with The Atlantic,#6439,
9.1,2025-03-28,19:30:00,Firing Line with Margaret Hoover,#839,
9.1,2025-03-28,20:00:00,Jacqueline Du Pre: Genius and Tragedy,,
9.1,2025-03-28,21:30:00,The Ukrainian Freedom Orchestra Plays Beethoven's 9th Symphony,,
9.1,2025-03-28,23:00:00,Austin City Limits,#5006,
9.1,2025-03-29,00:00:00,Amanpour and Company,#7195,
9.1,2025-03-29,01:00:00,Jacqueline Du Pre: Genius and Tragedy,,
9.1,2025-03-29,02:30:00,The Ukrainian Freedom Orchestra Plays Beethoven's 9th Symphony,,
9.1,2025-03-29,04:00:00,On the Record,#810,
9.1,2025-03-29,04:30:00,The San Antonio Files,#108,
9.1,2025-03-29,05:00:00,Happy Yoga with Sarah Starr,#305,
9.1,2025-03-29,05:30:00,Classical Stretch,#1524,
9.1,2025-03-29,06:00:00,Wild Kratts,#140,
9.1,2025-03-29,06:30:00,Alma's Way,#206,
9.1,2025-03-29,07:00:00,Lyla in the Loop,#125,
9.1,2025-03-29,07:30:00,Carl the Collector,#111,
9.1,2025-03-29,08:00:00,Fons & Porter's Love of Quilting,#4113,
9.1,2025-03-29,08:30:00,Fit 2 Stitch,#1310,
9.1,2025-03-29,09:00:00,Samantha Brown's Places to Love,#810,
9.1,2025-03-29,09:30:00,The Daytripper,#1504,
9.1,2025-03-29,10:00:00,Outside Beyond the Lens,#108,
9.1,2025-03-29,10:30:00,Rick Steves' Europe,#1205,
9.1,2025-03-29,11:00:00,Christopher Kimball's Milk Street Television,#801,
9.1,2025-03-29,11:30:00,Milk Street's My Family Recipe,#109,
9.1,2025-03-29,12:00:00,Christina Cooks: Back to the Cutting Board,#211,
9.1,2025-03-29,12:30:00,The Key Ingredient with Sheri Castle,#208,
9.1,2025-03-29,13:00:00,This Old House,#4617,
9.1,2025-03-29,13:30:00,Ask This Old House,#2317,
9.1,2025-03-29,14:00:00,America's Test Kitchen from Cook's Illustrated,#1914,
9.1,2025-03-29,14:30:00,Cook's Country from America's Test Kitchen,#1506,
9.1,2025-03-29,15:00:00,Lidia's Kitchen,#1220,
9.1,2025-03-29,15:30:00,Pati's Mexican Table,#506,
9.1,2025-03-29,16:00:00,Sara's Weeknight Meals,#1308,
9.1,2025-03-29,16:30:00,Samantha Brown's Places to Love,#810,
9.1,2025-03-29,17:00:00,PBS NewsHour Weekend,#2277,
9.1,2025-03-29,17:30:00,On the Record,#810,
9.1,2025-03-29,18:00:00,Father Brown,#905,
9.1,2025-03-29,19:00:00,Keeping Up Appearances,#104,
9.1,2025-03-29,19:30:00,Keeping Up Appearances,#105,
9.1,2025-03-29,20:00:00,Midsomer Murders,#307,
9.1,2025-03-29,20:45:00,Midsomer Murders,#308,
9.1,2025-03-29,22:00:00,Midsomer Murders,#205,
9.1,2025-03-29,22:45:00,Midsomer Murders,#206,
9.1,2025-03-30,00:00:00,Nature,#4211,
9.1,2025-03-30,01:00:00,NOVA,#5104,
9.1,2025-03-30,02:00:00,The Future of Nature,#101,
9.1,2025-03-30,03:00:00,On the Record,#810,
9.1,2025-03-30,03:30:00,The San Antonio Files,#108,
9.1,2025-03-30,04:00:00,Washington Week with The Atlantic,#6439,
9.1,2025-03-30,04:30:00,Firing Line with Margaret Hoover,#839,
9.1,2025-03-30,05:00:00,Happy Yoga with Sarah Starr,#306,
9.1,2025-03-30,05:30:00,Classical Stretch,#1213,
9.1,2025-03-30,06:00:00,Wild Kratts,#134,
9.1,2025-03-30,06:30:00,Alma's Way,#223,
9.1,2025-03-30,07:00:00,Lyla in the Loop,#120,
9.1,2025-03-30,07:30:00,Carl the Collector,#114,
9.1,2025-03-30,08:00:00,Daniel Tiger's Neighborhood,#202,
9.1,2025-03-30,08:30:00,Rosie's Rules,#133,
9.1,2025-03-30,09:00:00,Sesame Street,#5405,
9.1,2025-03-30,09:30:00,Work It Out Wombats!,#140,
9.1,2025-03-30,10:00:00,Central Texas Gardener,#2902,
9.1,2025-03-30,10:30:00,Texas Parks & Wildlife,#3321,
9.1,2025-03-30,11:00:00,Overheard with Evan Smith,#830,
9.1,2025-03-30,11:30:00,Washington Week with The Atlantic,#6439,
9.1,2025-03-30,12:00:00,Firing Line with Margaret Hoover,#839,
9.1,2025-03-30,12:30:00,Consuelo Mack Wealth Track,#2139,
9.1,2025-03-30,13:00:00,On the Record,#810,
9.1,2025-03-30,13:30:00,SA Voter Guide 2025,,
9.1,2025-03-30,14:00:00,The M Factor: Shredding The Silence On Menopause,,
9.1,2025-03-30,15:00:00,Coronation Girls,,
9.1,2025-03-30,16:30:00,Tell Me More with Kelly Corrigan,#204,
9.1,2025-03-30,17:00:00,PBS NewsHour Weekend,#2278,
9.1,2025-03-30,18:00:00,Sister Boniface Mysteries,#104,
9.1,2025-03-30,19:00:00,Call the Midwife,#1401,
9.1,2025-03-30,20:00:00,Wolf Hall,,
9.1,2025-03-30,21:00:00,Marie Antoinette,#202,
9.1,2025-03-30,22:00:00,The Paris Murders,#208,
9.1,2025-03-30,23:00:00,Lucy Worsley's Royal Myths and Secrets,#104,
9.1,2025-03-31,00:00:00,Wolf Hall,,
9.1,2025-03-31,01:00:00,Jacqueline Du Pre: Genius and Tragedy,,
9.1,2025-03-31,02:30:00,The Ukrainian Freedom Orchestra Plays Beethoven's 9th Symphony,,
9.1,2025-03-31,04:00:00,Finding Your Roots,#1007,
9.1,2025-03-31,05:00:00,Happy Yoga with Sarah Starr,#307,
9.1,2025-03-31,05:30:00,Classical Stretch,#1214,
9.1,2025-03-31,06:00:00,Cyberchase,#1207,
9.1,2025-03-31,06:30:00,Wild Kratts,#127,
9.1,2025-03-31,07:00:00,Lyla in the Loop,#117,
9.1,2025-03-31,07:30:00,Carl the Collector,#115,
9.1,2025-03-31,08:00:00,Daniel Tiger's Neighborhood,#307,
9.1,2025-03-31,08:30:00,Rosie's Rules,#137,
9.1,2025-03-31,09:00:00,Sesame Street,#5431,
9.1,2025-03-31,09:30:00,Work It Out Wombats!,#37,
9.1,2025-03-31,10:00:00,Donkey Hodie,#218,
9.1,2025-03-31,10:30:00,Pinkalicious & Peterrific,#203,
9.1,2025-03-31,11:00:00,Elinor Wonders Why,#207,
9.1,2025-03-31,11:30:00,Alma's Way,#136,
9.1,2025-03-31,12:00:00,Molly of Denali,#415,
9.1,2025-03-31,12:30:00,Xavier Riddle and The Secret Museum,#127,
9.1,2025-03-31,13:00:00,Sit and Be Fit,#1015,
9.1,2025-03-31,13:30:00,Classical Stretch,#1214,
9.1,2025-03-31,14:00:00,Father Brown,#905,
9.1,2025-03-31,15:00:00,Midsomer Murders,#307,
9.1,2025-03-31,15:45:00,Midsomer Murders,#308,
9.1,2025-03-31,17:00:00,BBC News America,#1056,
9.1,2025-03-31,17:30:00,BBC News The Context,#1056,
9.1,2025-03-31,18:00:00,The PBS News Hour,#14696,
9.1,2025-03-31,19:00:00,Antiques Roadshow,#2911,
9.1,2025-03-31,20:00:00,Antiques Roadshow,#1910,
9.1,2025-03-31,21:00:00,Going Your Way,,
9.1,2025-03-31,22:00:00,The Cost of Caring,,
9.1,2025-03-31,23:00:00,Amanpour and Company,#7196,
9.1,2025-04-01,00:00:00,Antiques Roadshow,#1910,
9.1,2025-04-01,01:00:00,Going Your Way,,
9.1,2025-04-01,02:00:00,Call the Midwife,#1401,
9.1,2025-04-01,03:00:00,Wolf Hall,,
9.1,2025-04-01,04:00:00,Marie Antoinette,#202,
9.1,2025-04-01,05:00:00,Happy Yoga with Sarah Starr,#308,
9.1,2025-04-01,05:30:00,Classical Stretch,#1215,
9.1,2025-04-01,06:00:00,Cyberchase,#1109,
9.1,2025-04-01,06:30:00,Wild Kratts,#214,
9.1,2025-04-01,07:00:00,Lyla in the Loop,#112,
9.1,2025-04-01,07:30:00,Carl the Collector,#118,
9.1,2025-04-01,08:00:00,Daniel Tiger's Neighborhood,#514,
9.1,2025-04-01,08:30:00,Rosie's Rules,#129,
9.1,2025-04-01,09:00:00,Sesame Street,#5405,
9.1,2025-04-01,09:30:00,Work It Out Wombats!,#116,
9.1,2025-04-01,10:00:00,Donkey Hodie,#205,
9.1,2025-04-01,10:30:00,Pinkalicious & Peterrific,#603,
9.1,2025-04-01,11:00:00,Elinor Wonders Why,#126,
9.1,2025-04-01,11:30:00,Nature Cat,#306,
9.1,2025-04-01,12:00:00,Molly of Denali,#111,
9.1,2025-04-01,12:30:00,Xavier Riddle and The Secret Museum,#218,
9.1,2025-04-01,13:00:00,Sit and Be Fit,#1016,
9.1,2025-04-01,13:30:00,Classical Stretch,#1215,
9.1,2025-04-01,14:00:00,Antiques Roadshow,#2911,
9.1,2025-04-01,15:00:00,Antiques Roadshow,#1910,
9.1,2025-04-01,16:00:00,Call the Midwife,#1401,
9.1,2025-04-01,17:00:00,BBC News America,#1057,
9.1,2025-04-01,17:30:00,BBC News The Context,#1057,
9.1,2025-04-01,18:00:00,The PBS News Hour,#14697,
9.1,2025-04-01,19:00:00,Finding Your Roots,#1109,
9.1,2025-04-01,20:00:00,American Masters,#3801,
9.1,2025-04-01,22:00:00,Great Performances,#4807,
9.1,2025-04-01,23:30:00,Amanpour and Company,#7197,
9.1,2025-04-02,00:30:00,Firing Line with Margaret Hoover,#839,
9.1,2025-04-02,01:00:00,American Masters,#3801,
9.1,2025-04-02,03:00:00,Antiques Roadshow,#2911,
9.1,2025-04-02,04:00:00,Antiques Roadshow,#1910,
9.1,2025-04-02,05:00:00,Happy Yoga with Sarah Starr,#309,
9.1,2025-04-02,05:30:00,Classical Stretch,#1216,
9.1,2025-04-02,06:00:00,Cyberchase,#1102,
9.1,2025-04-02,06:30:00,Wild Kratts,#403,
9.1,2025-04-02,07:00:00,Lyla in the Loop,#123,
9.1,2025-04-02,07:30:00,Carl the Collector,#119,
9.1,2025-04-02,08:00:00,Daniel Tiger's Neighborhood,#208,
9.1,2025-04-02,08:30:00,Rosie's Rules,#139,
9.1,2025-04-02,09:00:00,Sesame Street,#5430,
9.1,2025-04-02,09:30:00,Work It Out Wombats!,#128,
9.1,2025-04-02,10:00:00,Donkey Hodie,#122,
9.1,2025-04-02,10:30:00,Pinkalicious & Peterrific,#118,
9.1,2025-04-02,11:00:00,Elinor Wonders Why,#130,
9.1,2025-04-02,11:30:00,Nature Cat,#305,
9.1,2025-04-02,12:00:00,Molly of Denali,#403,
9.1,2025-04-02,12:30:00,Xavier Riddle and The Secret Museum,#129,
9.1,2025-04-02,13:00:00,Sit and Be Fit,#1017,
9.1,2025-04-02,13:30:00,Classical Stretch,#1216,
9.1,2025-04-02,14:00:00,Finding Your Roots,#1109,
9.1,2025-04-02,15:00:00,American Masters,#3801,
9.1,2025-04-02,17:00:00,BBC News America,#1058,
9.1,2025-04-02,17:30:00,BBC News The Context,#1058,
9.1,2025-04-02,18:00:00,The PBS News Hour,#14698,
9.1,2025-04-02,19:00:00,Nature,#4310,
9.1,2025-04-02,20:00:00,NOVA,#5101,
9.1,2025-04-02,21:00:00,The Future of Nature,#102,
9.1,2025-04-02,22:00:00,Chasing the Tide,#101,
9.1,2025-04-02,22:30:00,Chasing the Tide,#102,
9.1,2025-04-02,23:00:00,Amanpour and Company,#7198,
9.1,2025-04-03,00:00:00,NOVA,#5101,
9.1,2025-04-03,01:00:00,The Future of Nature,#102,
9.1,2025-04-03,02:00:00,American Masters,#3801,
9.1,2025-04-03,04:00:00,Finding Your Roots,#1109,
9.1,2025-04-03,05:00:00,Happy Yoga with Sarah Starr,#310,
9.1,2025-04-03,05:30:00,Classical Stretch,#1217,
9.1,2025-04-03,06:00:00,Cyberchase,#1103,
9.1,2025-04-03,06:30:00,Wild Kratts,#402,
9.1,2025-04-03,07:00:00,Lyla in the Loop,#113,
9.1,2025-04-03,07:30:00,Carl the Collector,#116,
9.1,2025-04-03,08:00:00,Daniel Tiger's Neighborhood,#515,
9.1,2025-04-03,08:30:00,Rosie's Rules,#112,
9.1,2025-04-03,09:00:00,Sesame Street,#5512,
9.1,2025-04-03,09:30:00,Work It Out Wombats!,#135,
9.1,2025-04-03,10:00:00,Donkey Hodie,#206,
9.1,2025-04-03,10:30:00,Pinkalicious & Peterrific,#212,
9.1,2025-04-03,11:00:00,Elinor Wonders Why,#127,
9.1,2025-04-03,11:30:00,Nature Cat,,
9.1,2025-04-03,12:30:00,Xavier Riddle and The Secret Museum,#215,
9.1,2025-04-03,13:00:00,Sit and Be Fit,#1018,
9.1,2025-04-03,13:30:00,Classical Stretch,#1217,
9.1,2025-04-03,14:00:00,Nature,#4310,
9.1,2025-04-03,15:00:00,Dynamic Planet,#101,
9.1,2025-04-03,16:00:00,Chasing the Tide,#101,
9.1,2025-04-03,16:30:00,Chasing the Tide,#102,
9.1,2025-04-03,17:00:00,BBC News America,#1059,
9.1,2025-04-03,17:30:00,BBC News The Context,#1059,
9.1,2025-04-03,18:00:00,The PBS News Hour,#14699,
9.1,2025-04-03,19:00:00,On the Record,#811,
9.1,2025-04-03,19:30:00,Salud! Celebrating San Antonio's Latina Leaders,#402,
9.1,2025-04-03,20:00:00,Sister Boniface Mysteries,#105,
9.1,2025-04-03,21:00:00,Father Brown,#906,
9.1,2025-04-03,22:00:00,Velvet,#114,
9.1,2025-04-03,23:30:00,Amanpour and Company,#7199,
9.1,2025-04-04,00:30:00,Chasing the Tide,#101,
9.1,2025-04-04,01:00:00,Chasing the Tide,#102,
9.1,2025-04-04,01:30:00,This Old House,#4618,
9.1,2025-04-04,02:00:00,The Future of Nature,#102,
9.1,2025-04-04,03:00:00,Nature,#4310,
9.1,2025-04-04,04:00:00,NOVA,#5101,
9.1,2025-04-04,05:00:00,Happy Yoga with Sarah Starr,#401,
9.1,2025-04-04,05:30:00,Classical Stretch,#1218,
9.1,2025-04-04,06:00:00,Cyberchase,#1201,
9.1,2025-04-04,06:30:00,Wild Kratts,#215,
9.1,2025-04-04,07:00:00,Lyla in the Loop,#121,
9.1,2025-04-04,07:30:00,Carl the Collector,#117,
9.1,2025-04-04,08:00:00,Daniel Tiger's Neighborhood,#211,
9.1,2025-04-04,08:30:00,Rosie's Rules,#101,
9.1,2025-04-04,09:00:00,Sesame Street,#5431,
9.1,2025-04-04,09:30:00,Work It Out Wombats!,#115,
9.1,2025-04-04,10:00:00,Donkey Hodie,#113,
9.1,2025-04-04,10:30:00,Pinkalicious & Peterrific,#404,
9.1,2025-04-04,11:00:00,Elinor Wonders Why,#131,
9.1,2025-04-04,11:30:00,Nature Cat,#307,
9.1,2025-04-04,12:00:00,Molly of Denali,#404,
9.1,2025-04-04,12:30:00,Xavier Riddle and The Secret Museum,#130,
9.1,2025-04-04,13:00:00,Sit and Be Fit,#1019,
9.1,2025-04-04,13:30:00,Classical Stretch,#1218,
9.1,2025-04-04,14:00:00,NOVA,#5101,
9.1,2025-04-04,15:00:00,Hope in the Water,#102,
9.1,2025-04-04,16:00:00,The Future of Nature,#102,
9.1,2025-04-04,17:00:00,BBC News America,#1060,
9.1,2025-04-04,17:30:00,BBC News The Context,#1060,
9.1,2025-04-04,18:00:00,The PBS News Hour,#14700,
9.1,2025-04-04,19:00:00,Washington Week with The Atlantic,#6440,
9.1,2025-04-04,19:30:00,Firing Line with Margaret Hoover,#840,
9.1,2025-04-04,20:00:00,Austin City Limits Celebrates 50 Years,,
9.1,2025-04-04,22:00:00,Austin City Limits,#5005,
9.1,2025-04-04,23:00:00,Amanpour and Company,#7200,
9.1,2025-04-05,00:00:00,Austin City Limits Celebrates 50 Years,,
9.1,2025-04-05,02:00:00,Life from Above,#101,
9.1,2025-04-05,03:00:00,Life from Above,#102,
9.1,2025-04-05,04:00:00,On the Record,#811,
9.1,2025-04-05,04:30:00,Salud! Celebrating San Antonio's Latina Leaders,#402,
9.1,2025-04-05,05:00:00,Happy Yoga with Sarah Starr,#402,
9.1,2025-04-05,05:30:00,Classical Stretch,#1525,
9.1,2025-04-05,06:00:00,Wild Kratts,#402,
9.1,2025-04-05,06:30:00,Alma's Way,#203,
9.1,2025-04-05,07:00:00,Lyla in the Loop,#112,
9.1,2025-04-05,07:30:00,Carl the Collector,#115,
9.1,2025-04-05,08:00:00,Fons & Porter's Love of Quilting,#4201,
9.1,2025-04-05,08:30:00,Fit 2 Stitch,#1311,
9.1,2025-04-05,09:00:00,Samantha Brown's Places to Love,#801,
9.1,2025-04-05,09:30:00,The Daytripper,#1505,
9.1,2025-04-05,10:00:00,Outside Beyond the Lens,#109,
9.1,2025-04-05,10:30:00,Rick Steves' Europe,#1206,
9.1,2025-04-05,11:00:00,Christopher Kimball's Milk Street Television,#802,
9.1,2025-04-05,11:30:00,Milk Street's My Family Recipe,#110,
9.1,2025-04-05,12:00:00,Christina Cooks: Back to the Cutting Board,#212,
9.1,2025-04-05,12:30:00,The Key Ingredient with Sheri Castle,#209,
9.1,2025-04-05,13:00:00,This Old House,#4618,
9.1,2025-04-05,13:30:00,Ask This Old House,#2318,
9.1,2025-04-05,14:00:00,America's Test Kitchen from Cook's Illustrated,#2519,
9.1,2025-04-05,14:30:00,Cook's Country from America's Test Kitchen,#1719,
9.1,2025-04-05,15:00:00,Lidia's Kitchen,#1221,
9.1,2025-04-05,15:30:00,Pati's Mexican Table,#507,
9.1,2025-04-05,16:00:00,Sara's Weeknight Meals,#1309,
9.1,2025-04-05,16:30:00,Walkin' West,#101,
9.1,2025-04-05,17:00:00,PBS NewsHour Weekend,#2279,
9.1,2025-04-05,17:30:00,On the Record,#811,
9.1,2025-04-05,18:00:00,Father Brown,#906,
9.1,2025-04-05,19:00:00,Keeping Up Appearances,#106,
9.1,2025-04-05,19:30:00,Keeping Up Appearances,#201,
9.1,2025-04-05,20:00:00,Midsomer Murders,#601,
9.1,2025-04-05,22:00:00,Death in Paradise,#708,
9.1,2025-04-05,23:00:00,Austin City Limits,#5007,
9.1,2025-04-06,00:00:00,Nature,#4310,
9.1,2025-04-06,01:00:00,NOVA,#5101,
9.1,2025-04-06,02:00:00,The Future of Nature,#102,
9.1,2025-04-06,03:00:00,On the Record,#811,
9.1,2025-04-06,03:30:00,The San Antonio Files,,
9.1,2025-04-06,04:00:00,Washington Week with The Atlantic,#6440,
9.1,2025-04-06,04:30:00,Firing Line with Margaret Hoover,#840,
9.1,2025-04-06,05:00:00,Happy Yoga with Sarah Starr,#403,
9.1,2025-04-06,05:30:00,Classical Stretch,#1219,
9.1,2025-04-06,06:00:00,Wild Kratts,#215,
9.1,2025-04-06,06:30:00,Alma's Way,#121,
9.1,2025-04-06,07:00:00,Lyla in the Loop,#113,
9.1,2025-04-06,07:30:00,Carl the Collector,#118,
9.1,2025-04-06,08:00:00,Daniel Tiger's Neighborhood,#211,
9.1,2025-04-06,08:30:00,Rosie's Rules,#101,
9.1,2025-04-06,09:00:00,Sesame Street,#5404,
9.1,2025-04-06,09:30:00,Work It Out Wombats!,#115,
9.1,2025-04-06,10:00:00,Central Texas Gardener,#2908,
9.1,2025-04-06,10:30:00,Texas Parks & Wildlife,#3322,
9.1,2025-04-06,11:30:00,Washington Week with The Atlantic,#6440,
9.1,2025-04-06,12:00:00,Firing Line with Margaret Hoover,#840,
9.1,2025-04-06,12:30:00,Consuelo Mack Wealth Track,#2140,
9.1,2025-04-06,13:00:00,On the Record,#811,
9.1,2025-04-06,13:30:00,Voter Guide 2025,,
9.1,2025-04-06,14:00:00,Finding Your Roots,#1109,
9.1,2025-04-06,15:00:00,American Masters,#3801,
9.1,2025-04-06,17:00:00,PBS NewsHour Weekend,#2280,
9.1,2025-04-06,18:00:00,Sister Boniface Mysteries,#105,
9.1,2025-04-06,19:00:00,Call the Midwife,#1402,
9.1,2025-04-06,20:00:00,Wolf Hall,,
9.1,2025-04-06,21:00:00,Marie Antoinette,#203,
9.1,2025-04-06,22:00:00,The Paris Murders,#209,
9.1,2025-04-06,23:00:00,Death in Paradise,#708,
9.1,2025-04-07,00:00:00,Wolf Hall,,
9.1,2025-04-07,01:00:00,Marie Antoinette,#203,
9.1,2025-04-07,02:00:00,To Be Announced,,
9.1,2025-04-07,03:00:00,Disco: Soundtrack of a Revolution,,
9.1,2025-04-07,03:30:00,Texas Talk,,
9.1,2025-04-07,04:00:00,Finding Your Roots,,
9.1,2025-04-07,04:30:00,Texas Talk,,
9.1,2025-04-07,05:00:00,Happy Yoga with Sarah Starr,,
9.1,2025-04-07,05:30:00,Classical Stretch,,
9.1,2025-04-07,06:00:00,Cyberchase,,
9.1,2025-04-07,07:00:00,Lyla in the Loop,#118,
9.1,2025-04-07,07:30:00,Carl the Collector,#119,
9.1,2025-04-07,08:00:00,Daniel Tiger's Neighborhood,#206,
9.1,2025-04-07,08:30:00,Rosie's Rules,#115,
9.1,2025-04-07,09:00:00,Sesame Street,#5427,
9.1,2025-04-07,09:30:00,The Daytripper,,
9.1,2025-04-07,10:00:00,Donkey Hodie,#219,
9.1,2025-04-07,10:30:00,Pinkalicious & Peterrific,#505,
9.1,2025-04-07,11:00:00,Elinor Wonders Why,#128,
9.1,2025-04-07,11:30:00,Nature Cat,#304,
9.1,2025-04-07,12:00:00,Homemade Live!,,
9.1,2025-04-07,12:30:00,Xavier Riddle and The Secret Museum,#216,
9.1,2025-04-07,13:00:00,Sit and Be Fit,,
9.1,2025-04-07,13:30:00,Classical Stretch,,
9.1,2025-04-07,14:00:00,Dynamic Planet,,
9.1,2025-04-07,14:30:00,Cook's Country from America's Test Kitchen,,
9.1,2025-04-07,15:00:00,Hope in the Water,,
9.1,2025-04-07,15:30:00,Pati's Mexican Table,,
9.1,2025-04-07,15:46:00,Midsomer Murders,,
9.1,2025-04-07,16:00:00,Rivers of Life,,
9.1,2025-04-07,16:30:00,Lidia's Kitchen,,
9.1,2025-04-07,17:00:00,BBC News America,,
9.1,2025-04-07,17:30:00,BBC News the Context,,
9.1,2025-04-07,18:00:00,The PBS News Hour,#14701,
9.1,2025-04-07,19:00:00,On the Record,,
9.1,2025-04-07,19:30:00,Texas Talk,,
9.1,2025-04-07,20:00:00,Sister Boniface Mysteries,,
9.1,2025-04-07,20:41:00,Midsomer Murders,,
